search_log_id,jurisdiction_id,searched_at,searched_by_role,language,domains_searched,query_summary,result_state,evidence_path,review_status,notes
PUBSEARCH-0087,KEN,2026-07-27T13:39:45Z,analyst-agent,English,annual reports,KEN annual reports English official,source_inaccessible,build/public-searches/search-receipts.json,draft,Search endpoint access issue: URLError; no result promoted.
PUBSEARCH-0088,MEX,2026-07-27T13:39:45Z,analyst-agent,Spanish,statistics/open data,MEX statistics/open data Spanish official,source_inaccessible,build/public-searches/search-receipts.json,draft,Search endpoint access issue: URLError; no result promoted.
PUBSEARCH-0089,MEX,2026-07-27T13:39:45Z,analyst-agent,Spanish,justice ministry,MEX justice ministry Spanish official,source_inaccessible,build/public-searches/search-receipts.json,draft,Search endpoint access issue: URLError; no result promoted.
PUBSEARCH-0090,KEN,2026-07-27T13:39:45Z,analyst-agent,English,justice ministry,KEN justice ministry English official,source_inaccessible,build/public-searches/search-receipts.json,draft,Search endpoint access issue: URLError; no result promoted.
PUBSEARCH-0091,MEX,2026-07-27T13:39:45Z,analyst-agent,Spanish,annual reports,MEX annual reports Spanish official,source_inaccessible,build/public-searches/search-receipts.json,draft,Search endpoint access issue: URLError; no result promoted.
PUBSEARCH-0092,KEN,2026-07-27T13:39:45Z,analyst-agent,Swahili,justice ministry,KEN justice ministry Swahili official,source_inaccessible,build/public-searches/search-receipts.json,draft,Search endpoint access issue: URLError; no result promoted.
PUBSEARCH-0093,JPN,2026-07-27T13:39:45Z,analyst-agent,Japanese,annual reports,JPN annual reports Japanese official,source_inaccessible,build/public-searches/search-receipts.json,draft,Search endpoint access issue: URLError; no result promoted.
PUBSEARCH-0094,KEN,2026-07-27T13:39:45Z,analyst-agent,English,statistics/open data,KEN statistics/open data English official,source_inaccessible,build/public-searches/search-receipts.json,draft,Search endpoint access issue: URLError; no result promoted.
PUBSEARCH-0095,MEX,2026-07-27T13:39:45Z,analyst-agent,Spanish,judiciary/court administration,MEX judiciary/court administration Spanish official,source_inaccessible,build/public-searches/search-receipts.json,draft,Search endpoint access issue: URLError; no result promoted.
PUBSEARCH-0096,KEN,2026-07-27T13:39:45Z,analyst-agent,Swahili,annual reports,KEN annual reports Swahili official,source_inaccessible,build/public-searches/search-receipts.json,draft,Search endpoint access issue: URLError; no result promoted.
PUBSEARCH-0097,NLD,2026-07-27T13:39:45Z,analyst-agent,Dutch,judiciary/court administration,NLD judiciary/court administration Dutch official,source_inaccessible,build/public-searches/search-receipts.json,draft,Search endpoint access issue: URLError; no result promoted.
PUBSEARCH-0098,MEX,2026-07-27T13:39:45Z,analyst-agent,Indigenous languages,statistics/open data,MEX statistics/open data Indigenous languages official,source_inaccessible,build/public-searches/search-receipts.json,draft,Search endpoint access issue: URLError; no result promoted.
PUBSEARCH-0099,MEX,2026-07-27T13:39:45Z,analyst-agent,Indigenous languages,justice ministry,MEX justice ministry Indigenous languages official,source_inaccessible,build/public-searches/search-receipts.json,draft,Search endpoint access issue: URLError; no result promoted.
PUBSEARCH-0100,MEX,2026-07-27T13:39:45Z,analyst-agent,Indigenous languages,annual reports,MEX annual reports Indigenous languages official,source_inaccessible,build/public-searches/search-receipts.json,draft,Search endpoint access issue: URLError; no result promoted.
PUBSEARCH-0101,MEX,2026-07-27T13:39:45Z,analyst-agent,Indigenous languages,judiciary/court administration,MEX judiciary/court administration Indigenous languages official,source_inaccessible,build/public-searches/search-receipts.json,draft,Search endpoint access issue: URLError; no result promoted.
PUBSEARCH-0102,NLD,2026-07-27T13:39:45Z,analyst-agent,Dutch,justice ministry,NLD justice ministry Dutch official,source_inaccessible,build/public-searches/search-receipts.json,draft,Search endpoint access issue: URLError; no result promoted.
PUBSEARCH-0103,NLD,2026-07-27T13:39:45Z,analyst-agent,Dutch,statistics/open data,NLD statistics/open data Dutch official,source_inaccessible,build/public-searches/search-receipts.json,draft,Search endpoint access issue: URLError; no result promoted.
PUBSEARCH-0104,NZL,2026-07-27T13:39:45Z,analyst-agent,English,annual reports,NZL annual reports English official,source_inaccessible,build/public-searches/search-receipts.json,draft,Search endpoint access issue: URLError; no result promoted.
